title,company,location,date_posted,source
Data Analyst,Meta,"New York, NY",2025-04-14,LinkedIn
Data Analyst,Meta,"San Francisco, CA",2025-04-14,LinkedIn
Data Analyst,Meta,"Los Angeles, CA",2025-04-14,LinkedIn
Data Analyst,Meta,"Washington, DC",2025-04-14,LinkedIn
Data Analyst II,Pinterest,"Chicago, IL",2025-04-16,LinkedIn
Data Analyst,FanDuel,"New York, NY",2025-04-11,LinkedIn
"Data Analyst, Production Finance Operations & Innovation",Netflix,"Los Angeles, CA",2025-04-10,LinkedIn
Data Analyst - Marketing,FanDuel,"New York, NY",2025-04-13,LinkedIn
Data Analyst,SBH Fashion,"New York, NY",2025-04-12,LinkedIn
Data Analyst II,Pinterest,"New York, NY",2025-04-16,LinkedIn
Data Analyst II,Pinterest,"San Francisco, CA",2025-04-16,LinkedIn
"Data Analyst, Global Partnerships & Content",Meta,"New York, NY",2025-04-14,LinkedIn
Data Analyst,FanDuel,"Atlanta, GA",2025-04-11,LinkedIn
Data Analyst,FinThrive,United States,2025-04-15,LinkedIn
Senior Data Analyst,alice + olivia,"New York, NY",2025-04-15,LinkedIn
"Data Products Analyst, YouTube",Google,"New York, NY",2025-04-14,LinkedIn
Customer Relationship Management Analyst,Bvlgari,New York City Metropolitan Area,2025-04-11,LinkedIn
"Data Analyst - SQL, ERP",CyberCoders,"Yakima, WA",2025-04-15,LinkedIn
Marketing Data Analyst,TechHuman,United States,2025-04-11,LinkedIn
Data Analyst,Hamilton Porter,"New York, NY",2025-04-16,LinkedIn
Analytics Associate,Brooklinen,"Brooklyn, NY",2025-04-10,LinkedIn
Data Analyst I,Equip,United States,2025-04-16,LinkedIn
Data Analyst,Toyota North America,"Plano, TX",2025-04-15,LinkedIn
"Data & Analytics, Analyst",TikTok,"Los Angeles, CA",2025-04-16,LinkedIn
Junior Data Analyst - Remote,Lensa,United States,2025-04-16,LinkedIn
"Data Products Analyst, YouTube",Google,"Los Angeles, CA",2025-04-14,LinkedIn
"Data Products Analyst, YouTube",Google,"Mountain View, CA",2025-04-14,LinkedIn
"Data Products Analyst, YouTube",Google,"San Bruno, CA",2025-04-14,LinkedIn
Data Analyst,Sony,"Culver City, CA",2025-04-17,LinkedIn
People Data Analyst,CAVA,Washington DC-Baltimore Area,2025-04-16,LinkedIn
Customer Insights Analyst,Nextdoor,"New York, NY",2025-04-15,LinkedIn
Data Analyst,Salt,United States,2025-04-15,LinkedIn
Data Analyst,InterEx Group,United States,2025-04-14,LinkedIn
Data Analyst I,Colibri Group,United States,2025-04-11,LinkedIn
Data Analyst Intern (Fall start),AARP,"Washington, DC",2025-04-10,LinkedIn
"Analyst, Data Science, RMBS",Cerberus Capital Management,"New York, NY",2025-04-10,LinkedIn
Data Analyst,Webologix Ltd/ INC,United States,2025-04-10,LinkedIn
Data Analyst,iSpot,United States,2025-04-10,LinkedIn
Analyst,NielsenIQ,"New York, NY",2025-04-14,LinkedIn
Data Analyst,RYZE,United States,2025-04-16,LinkedIn
Data Analyst,DHL Express,"Plantation, FL",2025-04-16,LinkedIn
Business Data Analyst,LTIMindtree,"Jersey City, NJ",2025-04-10,LinkedIn
Junior Data Analyst,CGI,"Arlington, VA",2025-04-15,LinkedIn
Data Analyst,Mastech Digital,"San Francisco, CA",2025-04-14,LinkedIn
Healthcare Data Analyst I - Remote,TieTalent,"California, United States",2025-04-16,LinkedIn
Data Analyst - 100% Remote,Lensa,"Jacksonville, FL",2025-04-16,LinkedIn
Data Analyst,Equiliem,"Lexington, MA",2025-04-16,LinkedIn
Data Analyst,AARATECH,New York City Metropolitan Area,2025-04-14,LinkedIn
Data Analyst,Keurig Dr Pepper Inc.,"Frisco, TX",2025-04-16,LinkedIn
Insights Analyst,Spectrum,"Stamford, CT",2025-04-15,LinkedIn
Sr. Data Analyst,Rivian,"Palo Alto, CA",2025-04-10,LinkedIn
Data Analyst,Consulting Point,United States,2025-04-15,LinkedIn
Sr. Data Analyst,Stefanini North America and APAC,United States,2025-04-10,LinkedIn
Data Analyst,Ignite Digital Services,"San Diego, CA",2025-04-10,LinkedIn
Data Analyst Contractor,Instacart,United States,2025-04-15,LinkedIn
Data Analyst,ExxonMobil,"Houston, TX",2025-04-17,LinkedIn
Data Analyst,Ascendum Solutions,"Irvine, CA",2025-04-14,LinkedIn
"Analyst, Data Analytics & Intelligence",Publicis Digital Experience,"New York, NY",2025-04-10,LinkedIn
Analista de Dados Junior - São Paulo/SP,Shopee,"São Paulo, São Paulo, Brazil",2025-04-16,LinkedIn
Data Analyst,LTIMindtree,"Bangalore Rural, Karnataka, India",2025-04-15,LinkedIn
"Data Platform Analyst, Subscriptions",Roku,"Bengaluru, Karnataka, India",2025-04-15,LinkedIn
Junior Data Analyst,Pion,"London, England, United Kingdom",2025-04-16,LinkedIn
Data Analyst,Aston Martin F1 Team,"Silverstone, England, United Kingdom",2025-04-15,LinkedIn
Healthcare Data Analyst,Infosys,"Bengaluru East, Karnataka, India",2025-04-16,LinkedIn
Junior Data Analyst UK&I,Experian,"Sofia, Sofia City, Bulgaria",2025-04-15,LinkedIn
Data Analyst,HCLTech,"Bengaluru, Karnataka, India",2025-04-16,LinkedIn
Data Analyst,PT Indofood CBP Sukses Makmur Tbk - Noodle Division,"Jakarta, Jakarta, Indonesia",2025-04-16,LinkedIn
Data Analyst,Explore Group,"London Area, United Kingdom",2025-04-15,LinkedIn
Data Analyst,PT Indofood CBP Sukses Makmur Tbk - Noodle Division,"Jakarta, Jakarta, Indonesia",2025-04-16,LinkedIn
"Lead Data Analyst (Power BI,SQL)",Target,"Bengaluru, Karnataka, India",2025-04-16,LinkedIn
Data Analyst,AKT London,"Greater London, England, United Kingdom",2025-04-15,LinkedIn
Officer - Real Time Analytics,Almosafer,"Riyadh, Saudi Arabia",2025-04-16,LinkedIn
