cargo,quantidade
Data Analyst,398
Data Scientist,349
Data Engineer,318
Senior Data Scientist,93
Machine Learning Engineer,68
Senior Data Analyst,59
Senior Data Engineer,50
Business Intelligence Analyst,42
Big Data Engineer,41
"Data Scientist, Product Analytics",31
Lead Data Scientist,24
Sr. Data Scientist,23
Junior Data Analyst,23
Research Scientist,22
"Data Engineer, Product Analytics",20
Business Data Analyst,18
Data Modeler,17
Principal Data Scientist,15
Sr. Data Engineer,14
Statistician (Data Scientist) *12 month Roster* *Direct Hire*,14
Junior Data Scientist,13
Scientist,13
Data Analyst II,13
Federal - Data Scientist,13
Sr. Data Analyst,13
Data Analyst I,12
Quantitative Researcher,11
Data Scientist - Nationwide Opportunities,11
Quantum Data Scientist (Industrial-Process sector),10
Quantum Principal Data Scientist (Industrial-Discrete sector),10
Quantum Principal Data Scientist (Industrial-Process sector),10
Data Engineer II,10
Data Engineer I,10
Microsoft Dynamics CRM Data Analyst,9
Principal Data Scientist- Public Sector,9
Microsoft Analytics Consultant,9
AI/ML Engineer,9
Principal Data Engineer,9
**** *******,9
Data Analyst III,9
Data Engineer III,9
Sr Data Scientist,9
Marketing Data Analyst,8
Lead Data Analyst,8
Quantitative Analyst,8
Federal - Data Engineer - Senior,8
Analytics Consultant,7
Computer Scientist,7
Bioinformatics Scientist,7
Senior Big Data Engineer,7
"**** ********, *********",7
Sr Data Analyst,7
Sr Data Engineer,6
Scientist III (Molecular Biology),6
Data Architect II,6
Physical Scientist,6
Cloud Data Engineer,6
Machine Learning Scientist,6
**** *********,6
Data Scientist II,6
**** ********,6
COMPUTER SCIENTIST,6
Applied Scientist,6
Data Analyst Intern,6
Lead Data Engineer,5
Data Analyst Junior,5
Junior Data Engineer,5
Senior Machine Learning Engineer,5
"Data Engineer, ITC",5
Data Science Manager,5
Quantitative Research Analyst,5
"Data Products Analyst, YouTube",5
Associate Scientist,5
Data Scientist with Security Clearance,5
Senior Business Intelligence Analyst,5
GENERAL PHYSICAL SCIENTIST,5
Data Science Engineer,5
AWS Data Engineer,5
Data Science Architect,5
Data Architect,5
Associate Data Engineer,5
Senior Data Scientist - Nationwide Opportunities,5
Scientist I,5
Data Scientist I,4
AI Automation Specialist,4
Director of Data Science,4
Product Data Analyst,4
Analytics Engineer,4
Project Scientist,4
Data Science Resident - Galvanize Data Science Immersive Grads Only,4
Big Data/Machine Learning Engineer - Sr,4
Data Science Team Lead,4
"Data Engineer I, SCOT - AIM",4
"Analyst, Analytics",4
Jr. Data Engineer,4
Federal - Senior Machine Learning Engineer,4
"Data Analyst, Global Partnerships & Content",4
Azure Data Engineer,4
"Business Applications, Infor Analytics Consultant",4
Data Analytics Manager,4
Data Engineer (remote),4
DATA ENGINEER,4
Associate Data Scientist,4
Research Data Analyst,4
Data Scientist 2,4
Data Scientist (remote),4
Data analyst,3
"Data Scientist, Analytics",3
Data Science Analyst,3
"ML Data Linguist, Alexa AI",3
Data Scientist / Statistician,3
DATA ANALYST,3
Pricing Data Analyst,3
Business Analytics Manager,3
"Lead Data Scientist, R&D Team",3
Sr. Data Scientist II,3
Technical Data Analyst,3
Machine Learning Engineer (Imaging),3
Data Scientist III,3
Clinical Safety Scientist I,3
Staff Scientist,3
Data & Analytics Consultant,3
Operation Analytics Manager,3
Analytics Manager,3
HR Data Analyst II,3
"Data Engineer, Machine Learning",3
Human Factors Scientist,3
"Staff Software Scientist, Reproductive Health",3
Data Science Specialist,3
Staff Big Data Engineer,3
Data Analyst (Supply Chain) - May Reside Anywhere in the US - Up to 100% Travel,3
Data & Analytics Consultant |,3
Data Science Developer,3
Data Analyst IV,3
Financial Data Analyst,3
Associate Scientist: Microbiology,3
Data Analyst III (Healthcare Analytics),3
Environmental Scientist,3
Data Scientist (Remote),3
Operations Research Scientist,3
Clinical Laboratory Scientist II,3
Epidemiology Data Analyst,3
Clinical Scientist,3
Data Management & Analytics - Consultant,3
